路段ID,路段长度(m),所属连通分量,风险扩散分数,是否为案发点所在分量,风险扩散分数(全网排序)
591,2448.3,2,8.545251001739596e-06,True,381
1039,55.5,2,8.257085671868407e-06,True,382
593,207.9,2,8.015093649169667e-06,True,383
126,2444.6,2,7.953009440970785e-06,True,384
781,575.2,2,7.833777126344839e-06,True,385
618,646.5,2,7.825608465036955e-06,True,386
1018,166.4,2,7.80028001027285e-06,True,387
93,206.2,2,7.517443872510021e-06,True,388
96,233.1,2,7.404461341307277e-06,True,389
549,2557.6,2,7.284108079220904e-06,True,390
1025,400.1,2,6.914423399267281e-06,True,391
1024,406.0,2,6.9087397234625094e-06,True,392
700,1382.8,2,6.654999384206289e-06,True,393
699,1382.3,2,6.65492352696381e-06,True,394
1242,841.8,2,6.3194372307013955e-06,True,395
123,642.9,2,5.943605338527267e-06,True,396
552,994.0,2,5.829168324613164e-06,True,397
760,431.7,2,5.795635040043084e-06,True,398
761,427.9,2,5.786199241158029e-06,True,399
53,2813.1,2,5.659142628441062e-06,True,400
5,2824.1,2,5.659142628441062e-06,True,400
1151,226.1,71,5.198155380766611e-06,True,402
1035,1198.7,2,4.8002567577533445e-06,True,403
697,4302.2,2,4.643593831313902e-06,True,404
696,4296.0,2,4.643593831313902e-06,True,404
1240,347.9,2,3.979636624155388e-06,True,406
288,69.2,2,3.6451664002467216e-06,True,407
586,92.6,2,3.577205941022862e-06,True,408
564,68.8,2,3.565464212684845e-06,True,409
1055,90.5,2,3.473098782662694e-06,True,410
587,99.0,2,3.320754853547361e-06,True,411
1033,58.0,2,3.211246808223878e-06,True,412
1046,73.5,2,3.1278842720443844e-06,True,413
1210,441.1,2,3.0123043438154506e-06,True,414
595,391.2,2,2.9981788152067208e-06,True,415
1212,463.4,2,2.997608399890822e-06,True,416
1076,358.4,2,2.941126010651375e-06,True,417
106,1483.1,2,2.837031182318295e-06,True,418
983,618.8,2,2.6819831988263837e-06,True,419
1012,577.6,2,2.6484459157785937e-06,True,420
1011,573.7,2,2.6449392541883566e-06,True,421
1152,105.7,71,2.574255016494096e-06,True,422
1028,652.1,2,2.486855633851327e-06,True,423
128,656.5,2,2.481358557831079e-06,True,424
566,59.6,2,2.4684361941505353e-06,True,425
567,47.3,2,2.3188774944106766e-06,True,426
122,197.7,2,2.193469062246091e-06,True,427
569,564.6,2,2.0790169241806436e-06,True,428
759,1704.5,2,2.0368695953742495e-06,True,429
758,1686.2,2,2.036834435244792e-06,True,430
1081,265.1,2,1.909256176478909e-06,True,431
958,335.9,2,1.9028373748887125e-06,True,432
289,415.8,2,1.8882499857985879e-06,True,433
956,336.0,2,1.883420462576147e-06,True,434
599,391.4,2,1.740600371166392e-06,True,435
368,417.8,2,1.6448548984530923e-06,True,436
1268,729.1,71,1.6001244691370233e-06,True,437
789,1199.3,2,1.594399170012984e-06,True,438
